Hour of the Day,Estimated Consumption
12:00AM-1:00AM,1.5kWh
1:00AM-2:00AM,2.0kWh
2:00AM-3:00AM,1.8kWh
3:00AM-4:00AM,1.2kWh
4:00AM-5:00AM,1.0kWh
5:00AM-6:00AM,1.7kWh
6:00AM-7:00AM,2.5kWh
7:00AM-8:00AM,3.2kWh
8:00AM-9:00AM,3.8kWh
9:00AM-10:00AM,4.0kWh
10:00AM-11:00AM,4.2kWh
11:00AM-12:00PM,4.5kWh
12:00PM-1:00PM,4.8kWh
1:00PM-2:00PM,4.6kWh
2:00PM-3:00PM,4.3kWh
3:00PM-4:00PM,4.0kWh
4:00PM-5:00PM,3.8kWh
5:00PM-6:00PM,4.2kWh
6:00PM-7:00PM,4.5kWh
7:00PM-8:00PM,4.0kWh
8:00PM-9:00PM,3.5kWh
9:00PM-10:00PM,3.0kWh
10:00PM-11:00PM,2.5kWh
11:00PM-12:00AM,2.0kWh
